Authors;Location;River / Watercourse;Q(m³/s);U(m/s);u*(m/s);S(m/m);B(m);H(m);A(m²);DL(m²/s);Rh(m);Method;Tracer
(JÚNIOR et al., 2005);Ouro Preto–MG;Feijão;4.3;0.598;-;0.00387;11;0.654;-;6.09;-;Routing procedure;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Feijão;4.3;0.598;-;0.00387;11;0.654;-;6.75;-;Moments;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Feijão;4.3;0.598;-;0.00387;11;0.654;-;3.04;-;Chatwin;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Jacaré Guaçu;11.25;0.412;-;0.0005;20;1.365;-;6;-;Routing procedure;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Jacaré Guaçu;11.25;0.412;-;0.0005;20;1.365;-;6.13;-;Moments;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Jacaré Guaçu;11.25;0.412;-;0.0005;20;1.365;-;3.23;-;Chatwin;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Jacaré Guaçu;9;0.4;-;0.0005;20;1.125;-;5.64;-;Routing procedure;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Jacaré Guaçu;9;0.4;-;0.0005;20;1.125;-;5.65;-;Moments;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Jacaré Guaçu;9;0.4;-;0.0005;20;1.125;-;2.16;-;Chatwin;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;3;0.76;-;0.00231;10;0.395;-;7.69;-;Routing procedure;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;3;0.76;-;0.00231;10;0.395;-;-;-;Moments;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;3;0.76;-;0.00231;10;0.395;-;-;-;Chatwin;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;0.8;0.456;-;0.00231;10;0.175;-;8;-;Routing procedure;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;0.8;0.456;-;0.00231;10;0.175;-;14.49;-;Moments;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;0.8;0.456;-;0.00231;10;0.175;-;1.04;-;Chatwin;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;0.84;0.393;-;0.00143;10;0.214;-;7.28;-;Routing procedure;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;0.84;0.393;-;0.00143;10;0.214;-;18.18;-;Moments;Rhodamine-WT
(JÚNIOR et al., 2005);Ouro Preto–MG;Caldas;0.84;0.393;-;0.00143;10;0.214;-;2.37;-;Chatwin;Rhodamine-WT
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Meio;0.115;0.33;0.102;0.006;1.85;0.19;0.35;0.299;0.175;Routing procedure;NaCl
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Meio;0.17;0.41;0.109;0.006;1.9;0.24;0.41;0.144;0.2;Routing procedure;NaCl
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Meio;0.17;0.41;0.109;0.006;1.9;0.24;0.41;0.124;0.2;Routing procedure;Fluorescent
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Retiro;0.447;0.91;0.091;0.005;2.85;0.17;0.49;0.045;0.16;Routing procedure;NaCl
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Retiro;0.433;0.93;0.087;0.005;2.8;0.16;0.46;0.225;0.145;Routing procedure;NaCl
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Retiro;0.433;0.93;0.087;0.005;2.8;0.16;0.46;0.05;0.145;Routing procedure;Fluorescent
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Divisa;0.072;0.37;0.079;0.004;0.9;0.22;0.2;0.9;0.164;Routing procedure;NaCl
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Divisa;0.062;0.39;0.072;0.004;1;0.16;0.16;0.165;0.136;Routing procedure;NaCl
(PEREIRA et al., 2016);Uberlândia-MG;Córrego Divisa;0.062;0.39;0.072;0.004;1;0.16;0.46;0.245;0.136;Routing procedure;Fluorescent
(PEREIRA et al., 2016);Uberlândia-MG;Rio Jordão;7.51;0.58;0.246;0.009;23.04;0.56;12.85;1.92;0.628;Routing procedure;Rhodamine
